"","Month","Year","City","Category Name","Store Number","Store Name","Pack","Bottles Sold","Sale (Dollars)","Bottle Volume (ml)","State Bottle Cost","State Bottle Retail","Volume Sold (Gallons)"
"1","11","2015","DES MOINES","BLENDED WHISKIES","2190","Central City Liquor, Inc.",16.4651162790698,283,3171.1,777.906976744186,319.02,478.64,55.38
"2","11","2015","DES MOINES","BLENDED WHISKIES","2248","Ingersoll Liquor and Beverage",12,90,897.66,900,82.5,123.78,18.81
"3","11","2015","DES MOINES","BLENDED WHISKIES","2527","Hy-Vee Food Store #5 / Des Moines",9.17647058823529,301,2761.28,1194.85294117647,238.68,358.07,83.32
"4","11","2015","DES MOINES","BLENDED WHISKIES","2528","Hy-Vee Food Store #3 / Des Moines",14.2,448,3033.38,871.666666666667,185.67,278.57,81.64
"5","11","2015","DES MOINES","BLENDED WHISKIES","2532","Hy-Vee Food Store #2 / Des Moines",13.0909090909091,288,1972.44,1114.77272727273,147.5,221.29,56.58
"6","11","2015","DES MOINES","BLENDED WHISKIES","2561","Hy-Vee Food Store / Fleur / DSM",10.8571428571429,213,2132.99,980.357142857143,204.47,306.74,53.29
"7","11","2015","DES MOINES","BLENDED WHISKIES","2626","Hy-Vee Drugstore / University / DSM",10.9565217391304,219,2064.92,902.173913043478,162.08,243.18,46.98
"8","11","2015","DES MOINES","BLENDED WHISKIES","2627","Hy-Vee Wine and Spirits #1",17.5384615384615,398,2006.13,840.384615384615,127.5,191.31,57.21
"9","11","2015","DES MOINES","BLENDED WHISKIES","2633","Hy-Vee #3 / BDI / Des Moines",11.6129032258065,747,7160.1,1024.1935483871,206.38,309.62,198.05
"10","11","2015","DES MOINES","BLENDED WHISKIES","2636","Hy-Vee Wine and Spirits / Hubbell",12.2857142857143,130,1161.12,1055.35714285714,91.45,137.2,31.61
"11","11","2015","DES MOINES","BLENDED WHISKIES","2852","CVS Pharmacy #10329 / Merle Hay",6,12,137.16,1750,7.62,11.43,5.55
"12","11","2015","DES MOINES","BLENDED WHISKIES","3400","Last Stop Beverage Shop",21.3333333333333,192,954.6,794.444444444444,49.81,74.73,23.31
"13","11","2015","DES MOINES","BLENDED WHISKIES","3696","Wal-Mart 1723 / Des Moines",6,18,243.36,1750,27.04,40.56,8.31
"14","11","2015","DES MOINES","BLENDED WHISKIES","3772","Shop N Save #1 / Mlk Pkwy",15,90,431.76,833.333333333333,23.59,35.41,15.46
"15","11","2015","DES MOINES","BLENDED WHISKIES","3778","Family Pantry",7.2,15,260.42,1500,54.01,81.02,6.61
"16","11","2015","DES MOINES","BLENDED WHISKIES","3785","Southside Tobacco and Liquor",20.4,87,344.38,815,29.59,44.4,8.95
