"TARGET","FixedAcidity","VolatileAcidity","CitricAcid","ResidualSugar","Chlorides","FreeSulfurDioxide","TotalSulfurDioxide","Density","pH","Sulphates","Alcohol","LabelAppeal","STARS"
3,3.2,1.16,-0.98,54.2,-0.567,-63.025,268,0.9928,3.33,-0.59,9.9,0,2
3,4.5,0.16,-0.81,26.1,-0.425,15,-327,1.02792,3.38,0.7,10.07133333333,-1,3
5,7.1,2.64,-0.88,14.8,0.037,214,142,0.99518,3.12,0.48,22,-1,3
3,5.7,0.385,0.04,18.8,-0.425,22,115,0.9964,2.24,1.83,6.2,-1,1
4,8,0.33,-1.26,9.4,0.08299,-167,108,0.99457,3.12,1.77,13.7,0,2
0,11.3,0.32,0.59,2.2,0.556,-37,15,0.9994,3.2,1.29,15.4,0,1.13
0,7.7,0.29,-0.4,21.5,0.06,287,156,0.99572,3.49,1.21,10.3,0,1.27
4,6.5,-1.22,0.34,1.4,0.04,523,551,1.03236,3.2,0.2441,11.6,1,3
3,14.8,0.27,1.05,11.25,-0.007,-213,72.29,0.9962,4.93,0.26,15,0,1.73
6,5.5,-0.22,0.39,1.8,-0.277,62,180,0.94724,3.09,0.75,12.6,0,4
0,-17.2,0.52,0.15,-33.8,-0.022,551,65,0.9934,4.31,0.56,13.1,1,1
4,9,0.22,0.49,10.4,-0.15,42.63,195,1.05918,3.01,-0.4,10.2,0,2
3,6,0.33,-1.06,3,0.518,5,378,0.96643,3.55,-0.86,3.9,1,2
7,14.9,0.32,0.34,1.3,0.042,20,139.29,0.95523,2.93,2.16,12,2,3
4,21.8,0.51,1.83,2.9,-0.165,-49,45,0.9974,6.02,2.23,12.1,0,2.2
0,5.7,0.5,-0.11,6.1,0.071,234,-331,0.9978,3.35,0.7695,6.8,0,1.25
0,7.9,0.6,0.06,50.4,0.069,15,339,0.9964,3.3,0.46,3.9,1,1.29
4,-1.3,0.22,2.95,-53,0.541,-85,-266,0.99672,3.61,0.82,10,0,3
5,10,0.23,0.27,14.1,0.033,-188,229,0.9988,3.14,0.88,11,1,2
4,6.8,0.475,-0.2,-50.75,0.047,-88,508,0.99403,3.23,0.35,18.3,-1,2
3,5.8,0.76,0.33,-26,-0.195,87,-283,0.9885,3.07,0.56,11.4,-1,1
2,6.5,0.24,0.24,-18.2,-0.182,15,60,1.00916,3.19,-1.01,9.8,-1,1
3,7.1,0.97,0.25,11.2,0.135,32,180,1.00278,3.14,0.42,9.5,0,1
4,4,0.35,0.67,4.2,0.333,-257,-126,0.98345,3.19,1.7,6.2,1,2.05
4,11.3,0.17,0.34,15.6,0.044,330,139,0.99752,3.06,3.83,9.1,0,2
0,2.7,-1.02,-0.53,-44,0.174,-60,72,0.99519,3.18,0.4,15.2,-1,1.25
4,6.4,2.21,0.56,40.4,0.055,27,-166,1.04577,1.77,-3.12,9.1,1,2
6,8.3,-2.46,0.27,13.2,0.036,31,132.11,0.99408,1.95,0.02,13,1,4
4,8,-0.01,-1.1,44.8,-0.35,17,129,1.03564,3.2,0.6385,16.6,0,2
3,7.4,0.36,0.06,33.8,-0.365,-135,39,0.99615,4.05,0.48,16,-1,1
4,5.7,0.25,0.27,10.8,0.05,58,-243,0.95643,3.1,-0.21,9.8,0,3
0,22.2,0.34,0.49,-0.235,-0.073,56,348,0.99967,4.08,0.66,6.5,-1,1
0,-3.8,-0.28,-1.2,16.2,0.048,44,147,0.9972,3.3,0.52,2.1,0,1.23
3,7.9,0.38,1.45,-8,-0.24,21,138,0.99796,3.52,-0.01,15.9,0,1
4,7.9,-0.56,-0.72,58.8,0.92,127,318,0.99904,3.05,0.4963,9.8,1,1
5,14.8,1.17,-0.09,1.5,0.027,-166,113.855,0.99,3.3,0.33,12.5,0,2
0,-2.9,1.035,-1.11,6,0.073,-207,54,1.03291,3.37,0.8229,9.9,1,1.2
4,28.9,-0.51,0.49,59.6,0.055,-20,188,0.99066,3.2333,0.91,11,0,2
0,6.9,0.3,0.29,1.3,0.00453000000000001,24,189,1.02393,3.29,-0.83,-3.1,1,1
4,3.1,1.65,-2.75,9.2,-0.002,54,126,0.9893,3.04,0.4339,9.7,0,1
0,3.2,0.47,0.3,41.7,-0.058,-160,135,0.9976,1.33,0.6061,9.4,0,1.23
5,13,0.34,0.46,4.7,0.029,-244,94,1.00111,1.42,1.74,17.3,1,2
5,9.3,0.14,-1.03,7.9,-0.379,21,82,1.0241,3.26,-0.38,13.7,1,2
1,19.3,1.75,0.36,52.3,0.075,63,48,1.02917,3.34,1.85,13.5,-2,1
3,5.8,0.36,0.5,-38.8,-0.291,63,178,1.00091,3.87,0.45,8.8,0,1
4,15.5,0.19,0.26,54,0.039,30,-214,0.98998,3.32,0.4513,12.1,0,2
4,11,0.23,1.42,37.8,0.035,24.265,434,0.9976,3.35,0.52,9.4,0,4
