"","Number of wins","Base Hits by batters (1B,2B,3B,HR)","Doubles by batters (2B)","Triples by batters (3B)","Homeruns by batters (4B)","Walks by batters","Strikeouts by batters","Stolen bases","Caught stealing","Batters hit by pitch (get a free base)","Hits allowed","Homeruns allowed","Walks allowed","Strikeouts by pitchers","Errors","Double Plays"
"1",39,1445,194,39,13,143,842,269.23,96.36,56.91,9364,84,927,5456,1011,111.7
"2",70,1339,219,22,190,685,1075,37,28,61.03,1347,191,689,1082,193,155
"3",86,1377,232,35,137,602,917,46,27,49.97,1377,137,602,917,175,153
"4",70,1387,209,38,96,451,922,43,30,54.39,1396,97,454,928,164,156
"5",82,1297,186,27,102,472,920,49,39,55.59,1297,102,472,920,138,168
"6",75,1279,200,36,92,443,973,107,59,59.89,1279,92,443,973,123,149
"7",80,1244,179,54,122,525,1062,80,54,56.17,1244,122,525,1062,136,186
"8",85,1273,171,37,115,456,1027,40,36,62.42,1281,116,459,1033,112,136
"9",86,1391,197,40,114,447,922,69,27,55.5,1391,114,447,922,127,169
"10",76,1271,213,18,96,441,827,72,34,57.17,1271,96,441,827,131,159
"11",78,1305,179,27,82,374,888,60,39,56.21,1364,86,391,928,119,141
"12",68,1372,203,31,95,509,801,119,79,55.25,1372,95,509,801,147,150
"13",72,1332,196,41,55,597,816,221,109,51.77,1340,55,601,821,185,165
"14",76,1265,210,23,63,534,812,126,80,57.16,1265,63,534,812,150,139
"15",74,1380,233,40,131,542,880,159,89,53.01,1380,131,542,880,147,137
"16",87,1417,226,28,108,539,682,86,69,54.49,1417,108,539,682,136,136
"17",88,1563,242,43,164,589,843,100,53,50.22,1563,164,589,843,135,172
"18",66,1460,239,32,107,546,900,92,64,50.02,1478,108,553,911,136,146
"19",75,1390,197,24,143,579,841,65,49,58.96,2047,211,853,1239,149,177
"20",93,1518,268,26,186,613,760,55,53,55.58,1518,186,613,760,106,171
"21",70,1467,241,22,154,509,835,41,39,54.79,1467,154,509,835,154,190
"22",81,1363,211,30,150,556,928,80,51,51.72,1363,150,556,928,128,170
"23",90,1364,215,31,153,648,902,106,51,52.15,1364,153,648,902,112,202
"24",92,1387,236,36,167,671,860,109,42,55.19,1387,167,671,860,107,156
"25",75,1406,257,26,172,590,926,125,44,55.65,1406,172,590,926,117,162
"26",75,1458,258,31,124,469,819,86,52,57.08,1458,124,469,819,135,175
"27",91,1422,208,37,145,429,1011,89,40,55.64,1422,145,429,1011,96,173
"28",80,1448,237,27,147,566,1000,69,43,51.93,1448,147,566,1000,140,186
"29",81,1396,245,29,115,448,928,94,56,55.81,1396,115,448,928,102,156
"30",72,1306,202,20,88,416,882,160,101,55.89,1306,88,416,882,134,172
